temp,VNFM#1(ACT),temp4,DUNSAN_NEW,7,EG,5,EG-5,35,1.1.1.12
temp,PROXY#1(ACT),temp5,DUNSAN_NEW,7,EG,5,EG-5,39,1.1.1.13
temp,GM OSC#2-3,temp6,DUNSAN_NEW,7,EG,6,EG-6,7,1.1.1.14
temp,GM OSC#2-2,temp7,DUNSAN_NEW,7,EG,6,EG-6,11,1.1.1.15
temp,GM OSC#2-1,temp8,DUNSAN_NEW,7,EG,6,EG-6,14,1.1.1.16
temp,TDIM#2,temp9,DUNSAN_NEW,7,EG,6,EG-6,17,1.1.1.17
temp,TDIM#1,temp10,DUNSAN_NEW,7,EG,6,EG-6,20,1.1.1.18
temp,OSC#3(ACT),temp11,DUNSAN_NEW,7,EG,6,EG-6,23,1.1.1.19
temp,OSC#2(ACT),temp12,DUNSAN_NEW,7,EG,6,EG-6,27,1.1.1.20
temp,VIM#2(SBY),temp13,DUNSAN_NEW,7,EG,6,EG-6,31,1.1.1.21
temp,VNFM#2(SBY),temp14,DUNSAN_NEW,7,EG,6,EG-6,35,1.1.1.22
temp,PROXY#2(SBY),temp15,DUNSAN_NEW,7,EG,6,EG-6,39,1.1.1.23
temp,OFCS59,temp16,DUNSAN_NEW,7,EK,1,EK-1,21,1.1.1.24
temp,NS#51_A,lns51-ns51a,DUNSAN_NEW,7,EK,2,EK-2,11,60.11.255.12
temp,SEMS#51_A,lns51-sems51a,DUNSAN_NEW,7,EK,2,EK-2,35,60.11.255.14
temp,NS#51_B,lns51-ns51b,DUNSAN_NEW,7,EK,3,EK-3,11,60.11.255.13
temp,SEMS#51_B,lns51-sems51b,DUNSAN_NEW,7,EK,3,EK-3,35,60.11.255.16
temp,H-PROBE027,T-PROBE发#2,DUNSAN_NEW,7,EK,4,EK-4,8,1.1.1.25
temp,H-PROBE028,T-PROBE发#2,DUNSAN_NEW,7,EK,4,EK-4,11,1.1.1.26
temp,H-PROBE029,T-PROBE发#2,DUNSAN_NEW,7,EK,4,EK-4,14,1.1.1.27
temp,H-PROBE030,T-PROBE发#2,DUNSAN_NEW,7,EK,4,EK-4,17,1.1.1.28
temp,D-PROBE058,T-PROBE发#2,DUNSAN_NEW,7,EK,4,EK-4,20,1.1.1.29
temp,D-PROBE158,T-PROBE发#2,DUNSAN_NEW,7,EK,4,EK-4,23,1.1.1.30
temp,D-PROBE258,T-PROBE发#2,DUNSAN_NEW,7,EK,4,EK-4,26,1.1.1.31
temp,D-PROBE358,T-PROBE发#2,DUNSAN_NEW,7,EK,4,EK-4,29,1.1.1.32
temp,H-PROBE014,T-PROBE发#3,DUNSAN_NEW,7,EK,5,EK-5,8,1.1.1.33
temp,H-PROBE015,T-PROBE发#3,DUNSAN_NEW,7,EK,5,EK-5,11,1.1.1.34
temp,D-PROBE054,T-PROBE发#3,DUNSAN_NEW,7,EK,5,EK-5,14,1.1.1.35
temp,D-PROBE154,T-PROBE发#3,DUNSAN_NEW,7,EK,5,EK-5,17,1.1.1.36
temp,D-PROBE254,T-PROBE发#3,DUNSAN_NEW,7,EK,5,EK-5,20,1.1.1.37
temp,S-PROBE008,T-PROBE发#3,DUNSAN_NEW,7,EK,5,EK-5,23,1.1.1.38
temp,E-PROBE003,T-PROBE发#3,DUNSAN_NEW,7,EK,5,EK-5,26,1.1.1.39
temp,D-PROBE063,T-PROBE发#3,DUNSAN_NEW,7,EK,5,EK-5,29,1.1.1.40
temp,dusn-d-probe-063,T-PROBE发#3,DUNSAN_NEW,7,EK,5,EK-5,32,1.1.1.41
temp,T-Probe-7,T-PROBE发#4,DUNSAN_NEW,7,EK,6,EK-6,8,1.1.1.42
temp,T-Probe-8,T-PROBE发#4,DUNSAN_NEW,7,EK,6,EK-6,11,1.1.1.43
temp,T-Probe-9,T-PROBE发#4,DUNSAN_NEW,7,EK,6,EK-6,14,1.1.1.44
temp,T-Probe-3,T-PROBE发#4,DUNSAN_NEW,7,EK,6,EK-6,17,1.1.1.45
temp,T-Probe-4,T-PROBE发#4,DUNSAN_NEW,7,EK,6,EK-6,20,1.1.1.46
temp,T-PROBE,T-PROBE发#4,DUNSAN_NEW,7,EK,6,EK-6,23,1.1.1.47
temp,dusn-d-probe-163,T-PROBE发#4,DUNSAN_NEW,7,EK,6,EK-6,25,1.1.1.48
temp,T-PROBE,T-PROBE发#4,DUNSAN_NEW,7,EK,6,EK-6,26,1.1.1.49
temp,T-PROBE,T-PROBE发#4,DUNSAN_NEW,7,EK,6,EK-6,29,1.1.1.50
temp,T-PROBE,T-PROBE发#4,DUNSAN_NEW,7,EK,6,EK-6,32,1.1.1.51
temp,vTAS#61_S,vTAS61_S,DUNSAN_NEW,7,NA,1,NA-1,11,60.50.55.13
temp,TAS#55_S,TAS55S,DUNSAN_NEW,7,NA,1,NA-1,17,60.50.55.16
temp,TAS#56_S,TAS56S,DUNSAN_NEW,7,NA,1,NA-1,26,60.50.55.19
temp,VTAS64_S,VTAS64_S,DUNSAN_NEW,7,NA,1,NA-1,32,1.1.1.52
temp,vTAS64-EMS64,temp17,DUNSAN_NEW,7,NA,1,NA-1,38,1.1.1.53
temp,vTAS#61_A,vTAS61_A,DUNSAN_NEW,7,NA,2,NA-2,11,60.50.55.12
temp,TAS#55_A,TAS55A,DUNSAN_NEW,7,NA,2,NA-2,17,60.50.55.15
temp,TAS#56_A,TAS56A,DUNSAN_NEW,7,NA,2,NA-2,26,60.50.55.18
temp,VTAS64_A,VTAS64_A,DUNSAN_NEW,7,NA,2,NA-2,32,1.1.1.54
temp,TAS5556_OMP,temp18,DUNSAN_NEW,7,NA,2,NA-2,39,1.1.1.55
temp,DNSN-H-PROBE12,T-PROBE发#1,DUNSAN_NEW,7,NA,3,NA-3,9,1.1.1.56
temp,DNSN-H-PROBE13,T-PROBE发#1,DUNSAN_NEW,7,NA,3,NA-3,12,1.1.1.57
temp,DNSN-H-PROBE23,T-PROBE发#1,DUNSAN_NEW,7,NA,3,NA-3,15,1.1.1.58
temp,DNSN-H-PROBE24,T-PROBE发#1,DUNSAN_NEW,7,NA,3,NA-3,18,1.1.1.59
temp,DNSN-V-PROBE23,T-PROBE发#1,DUNSAN_NEW,7,NA,3,NA-3,21,1.1.1.60
temp,HVOIVE01,temp19,DUNSAN_NEW,7,NA,3,NA-3,24,1.1.1.61
temp,vAGW#62_01,vagw62-1,DUNSAN_NEW,7,NA,4,NA-4,11,60.50.54.18
temp,vAGW#62_02,vagw62-2,DUNSAN_NEW,7,NA,4,NA-4,15,60.50.54.19
temp,vAGW#62_03,vagw62-3,DUNSAN_NEW,7,NA,4,NA-4,19,60.50.54.20
temp,vAGW#62_04,vagw62-4,DUNSAN_NEW,7,NA,4,NA-4,23,60.50.54.21
temp,vAGW#62_05,vagw62-5,DUNSAN_NEW,7,NA,4,NA-4,27,60.50.54.22
temp,vAGW#62_06,vagw62-6,DUNSAN_NEW,7,NA,4,NA-4,31,60.50.54.23
temp,vAGW#62_07,vagw62-7,DUNSAN_NEW,7,NA,4,NA-4,35,60.50.54.24
temp,vAGW#61_01,vagw61-1,DUNSAN_NEW,7,NA,5,NA-5,11,60.50.54.11
temp,vAGW#61_02,vagw61-2,DUNSAN_NEW,7,NA,5,NA-5,15,60.50.54.12
temp,vAGW#61_03,vagw61-3,DUNSAN_NEW,7,NA,5,NA-5,19,60.50.54.13
temp,vAGW#61_04,vagw61-4,DUNSAN_NEW,7,NA,5,NA-5,23,60.50.54.14
temp,vAGW#61_05,vagw61-5,DUNSAN_NEW,7,NA,5,NA-5,27,60.50.54.15
temp,vAGW#61_06,vagw61-6,DUNSAN_NEW,7,NA,5,NA-5,31,60.50.54.16
temp,vAGW#61_07,vagw61-7,DUNSAN_NEW,7,NA,5,NA-5,35,60.50.54.17
temp,vMSS#63_01,vmss63-1,DUNSAN_NEW,7,NA,6,NA-6,11,60.50.53.21
temp,vMSS#63_02,vmss63-2,DUNSAN_NEW,7,NA,6,NA-6,15,60.50.53.22
temp,vMSS#63_03,vmss63-3,DUNSAN_NEW,7,NA,6,NA-6,19,60.50.53.23
temp,vMSS#63_04,vmss63-4,DUNSAN_NEW,7,NA,6,NA-6,23,60.50.53.24
temp,vMSS#63_05,vmss63-5,DUNSAN_NEW,7,NA,6,NA-6,27,60.50.53.25
temp,vMSS#62_01,vmss62-1,DUNSAN_NEW,7,NA,7,NA-7,11,60.50.53.16
temp,vMSS#62_02,vmss62-2,DUNSAN_NEW,7,NA,7,NA-7,15,60.50.53.17
temp,vMSS#62_03,vmss62-3,DUNSAN_NEW,7,NA,7,NA-7,19,60.50.53.18
temp,vMSS#62_04,vmss62-4,DUNSAN_NEW,7,NA,7,NA-7,23,60.50.53.19
temp,vMSS#62_05,vmss62-5,DUNSAN_NEW,7,NA,7,NA-7,27,60.50.53.20
temp,vMSS#61_01,vmss61-1,DUNSAN_NEW,7,NA,8,NA-8,11,60.50.53.11
